system,spec_target,threshold,sensitivity,specificity,dataset,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,n_sample,n_hazard,n_safe
Constellation_Multilog_new,0.7,0.78,0.7454545454545455,0.7008174386920981,,,,,,2000.0,165.0,1835.0
Constellation_Multilog_new,0.73,0.79,0.7151515151515152,0.7313351498637602,,,,,,2000.0,165.0,1835.0
Constellation_Multilog_new,0.8,0.809,0.6606060606060606,0.8010899182561307,,,,,,2000.0,165.0,1835.0
Constellation_Multilog_new,0.9,0.862,0.5272727272727272,0.9024523160762944,,,,,,2000.0,165.0,1835.0
Constellation_Multilog_new,0.95,0.891,0.3575757575757576,0.9504087193460492,,,,,,2000.0,165.0,1835.0
Guardrail_new,0.7,0.203,0.6787878787878788,0.7002724795640327,,,,,,2000.0,165.0,1835.0
Guardrail_new,0.73,0.211,0.6606060606060606,0.7307901907356948,,,,,,2000.0,165.0,1835.0
Guardrail_new,0.8,0.248,0.6363636363636364,0.8021798365122615,,,,,,2000.0,165.0,1835.0
Guardrail_new,0.9,0.321,0.4909090909090909,0.900817438692098,,,,,,2000.0,165.0,1835.0
Guardrail_new,0.95,0.393,0.3939393939393939,0.9509536784741144,,,,,,2000.0,165.0,1835.0
LogReg_TFIDF_new,0.7,0.297,0.6242424242424243,0.7024523160762943,,,,,,2000.0,165.0,1835.0
LogReg_TFIDF_new,0.73,0.308,0.5696969696969697,0.7313351498637602,,,,,,2000.0,165.0,1835.0
LogReg_TFIDF_new,0.8,0.331,0.5151515151515151,0.8010899182561307,,,,,,2000.0,165.0,1835.0
LogReg_TFIDF_new,0.9,0.386,0.3636363636363636,0.9002724795640327,,,,,,2000.0,165.0,1835.0
LogReg_TFIDF_new,0.95,0.422,0.2606060606060606,0.9514986376021798,,,,,,2000.0,165.0,1835.0
XGBoost_SBERT_new,0.7,0.012,0.7090909090909091,0.7079019073569482,,,,,,2000.0,165.0,1835.0
XGBoost_SBERT_new,0.73,0.014,0.6727272727272727,0.7346049046321526,,,,,,2000.0,165.0,1835.0
XGBoost_SBERT_new,0.8,0.023,0.5575757575757576,0.8087193460490463,,,,,,2000.0,165.0,1835.0
XGBoost_SBERT_new,0.9,0.055,0.4606060606060606,0.9019073569482288,,,,,,2000.0,165.0,1835.0
XGBoost_SBERT_new,0.95,0.124,0.3090909090909091,0.9504087193460492,,,,,,2000.0,165.0,1835.0
CQL_Controller_reward,0.7,0.1,0.642424242420349,0.7002724795636511,RealWorld_Test,0.566815607044587,0.7115518095162606,0.6789097061215336,0.7207984579748193,2000.0,165.0,1835.0
CQL_Controller_reward,0.73,0.23,0.6181818181780717,0.7302452316072314,RealWorld_Test,0.5421606295799133,0.6888250990556836,0.7094722149412406,0.7500562186117092,2000.0,165.0,1835.0
CQL_Controller_reward,0.8,0.8,0.4606060606032691,0.8005449591276291,RealWorld_Test,0.3863115179052119,0.5366932392162557,0.781642146492051,0.8181920099681902,2000.0,165.0,1835.0
CQL_Controller_reward,0.9,0.996,0.2060606060593572,0.9062670299722582,RealWorld_Test,0.1513721427277961,0.2741248911785396,0.8920696150942907,0.9187669463583104,2000.0,165.0,1835.0
